ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
daga1276,Dagaaric,,,,daga1276,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246,atla1278,Atlantic-Congo,,,family,
safa1243,Safaliba,Africa,8.93768,-2.58467,safa1243,saf,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246,atla1278,Atlantic-Congo,safa1243,Safaliba,language,not endangered
nort3237,North-West Dagaric,,,,nort3237,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276,atla1278,Atlantic-Congo,,,family,
cent2291,Central-South Dagaric,,,,cent2291,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276,atla1278,Atlantic-Congo,,,family,
nort2780,Northern Dagara,Africa,11.0441,-3.0124,nort2780,dgi,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237,atla1278,Atlantic-Congo,nort2780,Northern Dagara,language,not endangered
biri1257,Birifor,,,,biri1257,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237,atla1278,Atlantic-Congo,,,family,
nura1238,Nura,Africa,,,nura1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/nort2780,atla1278,Atlantic-Congo,nort2780,Northern Dagara,dialect,
lobe1241,Lober,Africa,,,lobe1241,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/nort2780,atla1278,Atlantic-Congo,nort2780,Northern Dagara,dialect,
wule1238,Wule,Africa,,,wule1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/nort2780,atla1278,Atlantic-Congo,nort2780,Northern Dagara,dialect,
malb1235,Malba Birifor,Africa,9.78465,-2.90623,malb1235,bfo,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/biri1257,atla1278,Atlantic-Congo,malb1235,Malba Birifor,language,not endangered
sout2790,Southern Birifor,Africa,9.2873,-2.72672,sout2790,biv,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/biri1257,atla1278,Atlantic-Congo,sout2790,Southern Birifor,language,not endangered
biri1258,Northern Birifor,Africa,,,biri1258,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/biri1257/malb1235,atla1278,Atlantic-Congo,malb1235,Malba Birifor,dialect,
wile1238,Wile,Africa,,,wile1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/nort3237/biri1257/malb1235,atla1278,Atlantic-Congo,malb1235,Malba Birifor,dialect,
sout3209,South Dagaric,,,,sout3209,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291,atla1278,Atlantic-Congo,,,family,
sout2789,Central Dagaare,Africa,10.4226,-2.52265,sout2789,dga,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291,atla1278,Atlantic-Congo,sout2789,Central Dagaare,language,not endangered
daga1272,Dagaari Dioula,Africa,11.6839,-2.48569,daga1272,dgd,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209,atla1278,Atlantic-Congo,daga1272,Dagaari Dioula,language,not endangered
wali1263,Wali (Ghana),Africa,10.0212,-2.31263,wali1263,wlx,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),language,not endangered
yeri1239,Yeri Waali,Africa,,,yeri1239,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209/wali1263,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),dialect,
doli1238,'Dolimi,Africa,,,doli1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209/wali1263,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),dialect,
fufu1238,Fufula,Africa,,,fufu1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209/wali1263,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),dialect,
cher1272,Cherii,Africa,,,cher1272,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209/wali1263,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),dialect,
bule1242,'Bulengee,Africa,,,bule1242,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234/safa1246/daga1276/cent2291/sout3209/wali1263,atla1278,Atlantic-Congo,wali1263,Wali (Ghana),dialect,
mamp1246,Mampruli-Dagbani,,,,mamp1246,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/sout3205,atla1278,Atlantic-Congo,,,family,
